section	year	date	type	content	venue	title	file	source_url
by	2011	2011-04-18	blog-post	full-text	anildash.com	Funding a Startup Without VC	2011--funding-a-startup-without-vc.md	https://anildash.com/2011/04/18/funding-a-startup-without-vc/
by	2011	2011-04-13	blog-post	full-text	anildash.com	The Health Graph: Mortal Threats & Signs of Life	2011--health-graph-open-data.md	https://anildash.com/2011/04/12/health-graph-open-data/
by	2011	2011-03-29	blog-post	full-text	anildash.com	TMI: Fear, Fukushima and Facts	2011--tmi-fear-fukushima-and-facts.md	https://anildash.com/2011/03/28/tmi-fear-fukushima-and-facts/
by	2011	2011-03-17	blog-post	full-text	anildash.com	Pen Nerds and Finding Better Tools	2011--pen-nerds-and-finding-better-tools.md	https://anildash.com/2011/03/16/pen-nerds-and-finding-better-tools/
by	2011	2011-03-08	blog-post	full-text	anildash.com	Apple and Appropriate Secrecy	2011--apple-and-appropriate-secrecy.md	https://anildash.com/2011/03/08/apple-and-appropriate-secrecy/
by	2011	2011-03-06	blog-post	full-text	anildash.com	NYC MTA FTW	2011--nyc-mta-ftw.md	https://anildash.com/2011/03/05/nyc-mta-ftw/
by	2011	2011-02-19	blog-post	full-text	anildash.com	Malcolm Browne Dash	2011--malcolm-browne-dash.md	https://anildash.com/2011/02/18/malcolm-browne-dash/
by	2011	2011-02-01	blog-post	full-text	anildash.com	Reading is Fundamental	2011--reading-is-fundamental.md	https://anildash.com/2011/02/01/reading-is-fundamental/
by	2011	2011-01-26	blog-post	full-text	anildash.com	Mom and Pop, At Web Scale	2011--mom-and-pop-at-web-scale.md	https://anildash.com/2011/01/26/mom-and-pop-at-web-scale/
by	2011	2011-01-24	blog-post	full-text	anildash.com	Appreciation	2011--appreciation.md	https://anildash.com/2011/01/24/appreciation/
by	2011	2011-01-21	blog-post	full-text	anildash.com	How should a White House Quora Work?	2011--white-house-web-community.md	https://anildash.com/2011/01/21/white-house-web-community/
by	2011	2011-01-07	blog-post	full-text	anildash.com	Heroes of the Web	2011--heroes-of-the-web.md	https://anildash.com/2011/01/07/heroes-of-the-web/
by	2011	2011-01-04	blog-post	full-text	anildash.com	If You Didn't Blog It, It Didn't Happen	2011--if-you-didnt-blog-it-it-didnt-happen.md	https://anildash.com/2011/01/04/if-you-didnt-blog-it-it-didnt-happen/
by	2011	2011-01-03	blog-post	full-text	anildash.com	Three's a Trend: The Decline of Google Search Quality	2011--threes-a-trend-the-decline-of-google-search-quality.md	https://anildash.com/2011/01/03/threes-a-trend-the-decline-of-google-search-quality/
by	2010	2010-12-20	blog-post	full-text	anildash.com	Delivery As A Service	2010--delivery-as-a-service.md	https://anildash.com/2010/12/20/delivery-as-a-service/
by	2010	2010-12-17	blog-post	full-text	anildash.com	Getting to work with the New York Tech Meetup	2010--getting-to-work-with-the-new-york-tech-meetup.md	https://anildash.com/2010/12/17/getting-to-work-with-the-new-york-tech-meetup/
by	2010	2010-12-13	blog-post	full-text	anildash.com	I'm running for the New York Tech Meetup board	2010--im-running-for-the-new-york-tech-meetup-board.md	https://anildash.com/2010/12/13/im-running-for-the-new-york-tech-meetup-board/
by	2010	2010-12-01	blog-post	full-text	anildash.com	Gawker Is A Blog. Just Like Twitter.	2010--gawker-is-a-blog-just-like-twitter.md	https://anildash.com/2010/12/01/gawker-is-a-blog-just-like-twitter/
by	2010	2010-11-24	blog-post	full-text	anildash.com	Freedom, Trust, and Other Boring Software Features	2010--freedom-trust-and-other-boring-software-features.md	https://anildash.com/2010/11/24/freedom-trust-and-other-boring-software-features/
by	2010	2010-11-17	blog-post	full-text	anildash.com	The Other Start-up Advice	2010--the-other-startup-advice.md	https://anildash.com/2010/11/17/the-other-startup-advice/
by	2010	2010-11-15	blog-post	full-text	anildash.com	In Defense of Security Theater (Sorta)	2010--in-defense-of-security-theater-sorta.md	https://anildash.com/2010/11/15/in-defense-of-security-theater-sorta/
