date	title	url	tags
2018-07-13	Unfollowing Everybody	https://anildash.com/2018/07/13/unfollowing-everybody/	twitter|social media
2018-05-11	The Cartoon Kit	https://anildash.com/2018/05/11/the-cartoon-kit/	animation
2018-05-02	It's like Shazam — for your face!	https://anildash.com/2018/05/02/its-like-shazam-for-your-face/	music|javascript|education|tech
2018-04-07	12 Things Everyone Should Understand About Tech	https://anildash.com/2018/04/07/12-things-everyone-should-understand-about-tech/	tech|best of|most popular
2018-03-22	The Missing Building Blocks of the Web	https://anildash.com/2018/03/22/he-missing-building-blocks-of-the-web/	blogs|html|tech|web|accessibility
2018-01-19	Have the Hip Hop BBQ	https://anildash.com/2018/01/19/have-the-hip-hop-bbq/	music|policy|hip hop|barack obama|racism
2017-12-28	Masters in Business	https://anildash.com/2017/12/28/masters-in-business/	tech|podcast|business|ethics|barry ritholtz
2017-12-16	Every Last Jedi	https://anildash.com/2017/12/15/every-last-jedi/	film|star wars|media
2017-11-29	Underscores, Optimization & Arms Races	https://anildash.com/2017/11/29/underscores-optimization-arms-races/	google|search|tech|web|wordpress
2017-11-20	Star Wars Minute!	https://anildash.com/2017/11/20/star-wars-minute/	film|star wars|podcast|media
2017-11-14	4th Day of November...	https://anildash.com/2017/11/14/4th-day-of-november/	culture|music|prince|podcast
2017-11-01	Speaking at the Obama Foundation Summit	https://anildash.com/2017/11/01/speaking-at-the-obama-foundation-summit/	policy|tech|barack obama|social media
2017-09-11	Sixteen is Letting Go Again	https://anildash.com/2017/09/11/sixteen-is-letting-go-again/	nyc|9/11
2017-09-01	The Printer We Need	https://anildash.com/2017/09/01/the-printer-we-need/	tech|accessibility|advertising|aesthetics
2017-07-28	Apple is about to do something their programmers definitely don't want.	https://anildash.com/2017/07/28/apple-is-about-to-do-something-their-programmers-definitely-dont-want/	tech|apple
2017-06-16	The bar is so damn low.	https://anildash.com/2017/06/16/the-bar-is-so-damn-low/	culture|internet|podcast|social media|media
2017-06-12	The Importance Of Interaction	https://anildash.com/2017/06/12/the-importance-of-interaction/	tech
2017-05-01	We're just trying to be non-terrible!	https://anildash.com/2017/05/01/were-just-trying-to-be-non-terrible/	software|tech|podcast
2017-04-28	Dig, If U Will...	https://anildash.com/2017/04/27/dig-if-u-will/	music|prince
2017-03-01	Tech and the Fake Market tactic	https://anildash.com/2017/03/01/tech-and-the-fake-market-tactic/	tech|advertising
2017-02-12	It's time to discover Prince	https://anildash.com/2017/02/12/its-time-to-discover-prince/	music|prince|purple rain|streaming
2017-02-01	It's me, Bike Dad!	https://anildash.com/2017/02/01/its-me-bike-dad/	nyc|ny1|transit
2017-01-30	Design Matters	https://anildash.com/2017/01/30/design-matters/	design|tech|conversation|podcast|creativity
2017-01-15	On Being and Tech's Moral Reckoning	https://anildash.com/2017/01/15/on-being-and-techs-moral-reckoning/	culture|tech
2016-12-30	A billion dollar gift for Twitter	https://anildash.com/2016/12/30/a-billion-dollar-gift-for-twitter/	tech|twitter
2016-12-06	I'm at Fog Creek. And we're introducing Glitch!	https://anildash.com/2016/12/06/im-at-fog-creek-and-were-introducing-gomix/	software|tech
2016-11-09	Forget "Why?", it's time to get to work.	https://anildash.com/2016/11/09/forget-why-its-time-to-get-to-work/	culture|policy|america
2016-10-06	How do we reform tech?	https://anildash.com/2016/10/06/how-do-we-reform-tech/	tech|internet|business
2016-10-06	Another Round on me!	https://anildash.com/2016/10/06/another-round-on-me/	podcast|race|identity|mangoes
2016-09-14	It's more than just "teach kids to code"	https://anildash.com/2016/09/14/its-more-than-just-teach-kids-to-code/	policy|tech|education|computer science|coding
2016-09-11	Fifteen is the past	https://anildash.com/2016/09/11/fifteen-is-the-past/	nyc|9/11|america
2016-08-19	There is no "technology industry"	https://anildash.com/2016/08/19/there-is-no-technology-industry/	tech|industry|best of
2016-08-08	The lost infrastructure of social media.	https://anildash.com/2016/08/08/the-lost-infrastructure-of-social-media/	blogs|search|social media|tech|twitter
2016-07-15	New York-Style Tech	https://anildash.com/2016/07/15/new-york-style-tech/	nyc|tech
2016-07-11	Coloring Books	https://anildash.com/2016/07/11/red-book-yellow-book-green-book/	music|policy|race|transportation
2016-07-08	Launch	https://anildash.com/2016/07/08/launch/	personal|space shuttle|nasa
2016-06-19	Set Adrift: Beneath the Surface of P.M. Dawn	https://anildash.com/2016/06/18/set-adrift-beneath-the-surface-of-pm-dawn/	music|hip hop
2016-05-28	Prince's Own Liner Notes On His Greatest Hits	https://anildash.com/2016/05/28/princes-own-liner-notes-on-his-greatest-hits/	music|prince|liner notes|best of
2016-05-15	Message from The Artist	https://anildash.com/2016/05/15/message-from-the-artist/	music|prince
2016-05-12	The Purple Raincheck	https://anildash.com/2016/05/12/the-purple-raincheck/	music|prince|best of
2016-04-28	Goodbye, Prince	https://anildash.com/2016/04/28/goodbye-prince/	music|prince
2016-03-22	Water for Gambhariganda	https://anildash.com/2016/03/21/water-for-gambhariganda/	personal|accessibility
2016-02-24	On the Hunt	https://anildash.com/2016/02/24/on-the-hunt/	tech|twitter|social media
2016-01-18	I'm the most magnanimous motherfucker you know.	https://anildash.com/2016/01/18/magnanimous-motherfucker/	personal
2015-12-20	Awakenings!	https://anildash.com/2015/12/19/awakenings/	film|star wars|media
2015-11-25	Beyond Doing Half the Parenting	https://anildash.com/2015/11/25/beyond-doing-half-the-parenting/	personal|parenting|family
2015-10-10	A little less rocking with you...	https://anildash.com/2015/10/10/a-little-less-rocking-with-you/	music
2015-09-11	Fourteen is Remembering	https://anildash.com/2015/09/11/fourteen-is-remembering/	nyc|9/11
2015-09-04	Let's Support The Girls Club	https://anildash.com/2015/09/04/lets-support-the-girls-club/	nyc|birthday|community|east village
2015-08-20	It is miraculous.	https://anildash.com/2015/08/19/it-is-miraculous/	music|alicia keys|aol
2015-07-11	The Internet of Tweets	https://anildash.com/2015/07/11/the-internet-of-tweets/	culture|tech|twitter|apple|software
2015-07-01	Why, Bobby Jindal?	https://anildash.com/2015/06/30/on-bobby-jindal/	policy|south asians
2015-06-19	Uber for Uber: 10 Simple Steps to Improve Ride Sharing	https://anildash.com/2015/06/19/uber-for-uber/	tech|criticism|best of
2015-05-24	Nobody Famous	https://anildash.com/2015/05/24/nobody-famous/	twitter|most popular
