year	title	type	venue	doi	openalex_id	merged_openalex_ids	cited_by_count	is_oa	n_authors	content	source_url	file	note
2016	Introducing the Open Affective Standardized Image Set (OASIS)	article	Behavior Research Methods	https://doi.org/10.3758/s13428-016-0715-3	W2274642938		687	True	3	full-text	https://banaji.sites.fas.harvard.edu/research/publications/articles/2016_Kurdi_BRM.pdf	by/2016--introducing-open-affective-standardized-image-set-oasis.md	
2016	Math = Male, Me = Female, therefore Math = Me	preprint		https://doi.org/10.31234/osf.io/y2g6s	W4246270365	W4409672059	42	True	3	full-text	https://doi.org/10.31234/osf.io/y2g6s	by/2016--math-male-me-female-therefore-math-me.md	
2016	Moderators of the confidence–accuracy relationship in recognition memory	preprint	OSF Preprints (OSF Preprints)	https://doi.org/10.17605/osf.io/gyb3c	W2775524130		0	True	5	abstract-only	https://doi.org/10.17605/osf.io/gyb3c	by/2016--moderators-confidenceaccuracy-relationship-recognition-memory.md	
2016	Social inferences from group size	article	Journal of Experimental Social Psychology	https://doi.org/10.1016/j.jesp.2016.11.005	W2557525003		15	False	2	full-text	https://banaji.sites.fas.harvard.edu/research/publications/articles/2017_Cao_JESP.pdf	by/2016--social-inferences-group-size.md	
2016	The Go/No-Go Association Task	preprint		https://doi.org/10.31234/osf.io/4ed36	W4293776464		23	True	2	full-text (deduped-removed)	https://doi.org/10.31234/osf.io/4ed36		
2016	The base rate principle and the fairness principle in social judgment	article	Proceedings of the National Academy of Sciences	https://doi.org/10.1073/pnas.1524268113	W2460480732		107	True	2	full-text	https://banaji.sites.fas.harvard.edu/research/publications/articles/2016_Cao_PNAS.pdf	by/2016--base-rate-principle-fairness-principle-social-judgment.md	
2016	Understanding and Using the Implicit Association Test: 1. An Improved Scoring Algorithm	preprint		https://doi.org/10.31234/osf.io/acgxd	W4247543035		47	True	3	full-text	https://doi.org/10.31234/osf.io/acgxd	by/2016--understanding-using-implicit-association-test-1-improved-scoring-algorithm.md	
2016	Validity of the Salience Asymmetry Interpretation of the IAT: Comment on Rothermund and Wentura (2004)	preprint		https://doi.org/10.31234/osf.io/bkvsp	W2809586864	W4409673302|W7110642896	10	True	4	full-text (deduped-removed)	https://doi.org/10.31234/osf.io/bkvsp		
2016	eResearch:  Ethics, Security, Design, and Control in Psychological Research on the Internet	preprint		https://doi.org/10.31234/osf.io/casxf	W4234292332	W7160366587	26	True	3	full-text	https://doi.org/10.31234/osf.io/casxf	by/2016--eresearch-ethics-security-design-control-psychological-research-internet.md	
2015	Attitudes	other		https://doi.org/10.1002/9780470561119.socpsy001010	W4211220888		15	False	2	abstract-only	https://doi.org/10.1002/9780470561119.socpsy001010	by/2015--attitudes.md	
