date	identifier	title	archive_url	in_fetch_window	fetched
2000-07-01	release-1.0-07-00	Release 1.0 - July, 2000	https://archive.org/details/release-1.0-07-00	no	no
2000-09-01	release-1.0-09-00	Release 1.0 - September, 2000	https://archive.org/details/release-1.0-09-00	no	no
2000-10-01	release-1.0-10-00	Release 1.0 - October, 2000	https://archive.org/details/release-1.0-10-00	no	no
2000-11-01	release-1.0-11-00	Release 1.0 - November, 2000	https://archive.org/details/release-1.0-11-00	no	no
2000-12-01	release-1.0-12-00	Release 1.0 - December, 2000	https://archive.org/details/release-1.0-12-00	no	no
2001-01-01	release-1.0-01-01	Release 1.0 - January, 2001	https://archive.org/details/release-1.0-01-01	no	no
2001-02-01	release-1.0-02-01	Release 1.0 - February, 2001	https://archive.org/details/release-1.0-02-01	no	no
2001-03-01	release-1.0-03-01	Release 1.0 - March, 2001	https://archive.org/details/release-1.0-03-01	no	no
2001-04-01	release-1.0-04-01	Release 1.0 - April, 2001	https://archive.org/details/release-1.0-04-01	no	no
2001-05-01	release-1.0-05-01	Release 1.0 - May, 2001	https://archive.org/details/release-1.0-05-01	no	no
2001-06-01	release-1.0-06-01	Release 1.0 - June, 2001	https://archive.org/details/release-1.0-06-01	no	no
2001-07-01	release-1.0-07-01	Release 1.0 - July, 2001	https://archive.org/details/release-1.0-07-01	no	no
2001-09-01	release-1.0-09-01	Release 1.0 - September, 2001	https://archive.org/details/release-1.0-09-01	no	no
2001-10-01	release-1.0-10-01	Release 1.0 - October, 2001	https://archive.org/details/release-1.0-10-01	no	no
2001-11-01	release-1.0-11-01	Release 1.0 - November, 2001	https://archive.org/details/release-1.0-11-01	no	no
2001-12-01	release-1.0-12-01	Release 1.0 - December, 2001	https://archive.org/details/release-1.0-12-01	no	no
2002-01-01	release-1.0-01-02	Release 1.0 - January, 2002	https://archive.org/details/release-1.0-01-02	no	no
2002-02-01	release-1.0-02-02	Release 1.0 - February, 2002	https://archive.org/details/release-1.0-02-02	no	no
2002-03-01	release-1.0-03-02	Release 1.0 - March, 2002	https://archive.org/details/release-1.0-03-02	no	no
2002-04-01	release-1.0-04-02	Release 1.0 - April, 2002	https://archive.org/details/release-1.0-04-02	no	no
2002-05-01	release-1.0-05-02	Release 1.0 - May, 2002	https://archive.org/details/release-1.0-05-02	no	no
2002-06-01	release-1.0-06-02	Release 1.0 - June, 2002	https://archive.org/details/release-1.0-06-02	no	no
2002-07-01	release-1.0-07-02	Release 1.0 - July, 2002	https://archive.org/details/release-1.0-07-02	no	no
2002-09-01	release-1.0-09-02	Release 1.0 - September, 2002	https://archive.org/details/release-1.0-09-02	no	no
2002-10-01	release-1.0-10-02	Release 1.0 - October, 2002	https://archive.org/details/release-1.0-10-02	no	no
2002-11-01	release-1.0-11-02	Release 1.0 - November, 2002	https://archive.org/details/release-1.0-11-02	no	no
2002-12-01	release-1.0-12-02	Release 1.0 - December, 2002	https://archive.org/details/release-1.0-12-02	no	no
2003-01-01	release-1.0-01-03	Release 1.0 - January, 2003	https://archive.org/details/release-1.0-01-03	no	no
2003-02-01	release-1.0-02-03	Release 1.0 - February, 2003	https://archive.org/details/release-1.0-02-03	no	no
2003-03-01	release-1.0-03-03	Release 1.0 - March, 2003	https://archive.org/details/release-1.0-03-03	no	no
2003-04-01	release-1.0-04-03	Release 1.0 - April, 2003	https://archive.org/details/release-1.0-04-03	no	no
2003-05-01	release-1.0-05-03	Release 1.0 - May, 2003	https://archive.org/details/release-1.0-05-03	no	no
2003-06-01	release-1.0-06-03	Release 1.0 - June, 2003	https://archive.org/details/release-1.0-06-03	no	no
2003-08-01	release-1.0-08-03	Release 1.0 - August, 2003	https://archive.org/details/release-1.0-08-03	no	no
2003-09-01	release-1.0-09-03	Release 1.0 - September, 2003	https://archive.org/details/release-1.0-09-03	no	no
2003-10-01	release-1.0-10-03	Release 1.0 - October, 2003	https://archive.org/details/release-1.0-10-03	no	no
2003-11-01	release-1.0-11-03	Release 1.0 - November, 2003	https://archive.org/details/release-1.0-11-03	no	no
2003-12-01	release-1.0-12-03	Release 1.0 - December, 2003	https://archive.org/details/release-1.0-12-03	no	no
