year	entry	urls
2011	Dartmouth College The Digital Humanities Lecture Series with the Leslie Center for the Humanities & Computer Science at Dartmouth Alone Together: Why We Expect More from Technology and Less from Each Other Hanover, NH February 2011	
2011	TEDxUIUC 2011 University of Illinois at Urbana-Champaign “New Frontiers” Alone Together: Why We Expect More from Technology and Less from Each Other Urbana, IL February 2011	
2010	North Carolina State University Engineering, Policy, and Society Seminar Series Keynote: Computing and Communications Technologies: The Work/Life Connection Raleigh, NC November 2010	
2010	William Alanson White Institute of Psychiatry, Psychoanalysis & Psychology “Where the Wired Things Are: Children and Technology in Therapy” Keynote Address New York, NY October 2010	
2010	Harvard University Social Studies 50th Anniversary Celebration “Social Studies and the Social Sciences” Cambridge, MA September 2010	
2010	Scratch @ MIT (conference) Keynote Address Cambridge, MA August 2010	
2010	Campus Technology 2010 (conference) Keynote: Technology as the Architect of Self: Implications for Higher Education Boston, MA July 2010	
2010	Harvard Extension School The 2010 Lowell Lecture The Tethered Life: Technology Reinvents Intimacy and Solitude Cambridge, MA May 2010	
2010	Washington Center for Psychoanalysis New Directions Conference in Psychoanalytic Thinking (Being a Therapist in the 21st Century) Technology and New Emotional States Washington, DC May 2010	
2010	Tufts University Snyder Presidential Lecture Cyberintimacies/Cybersolitudes Medford, MA April 2010	
2010	Massachusetts College of Art and Design Dynamic Media Institute’s Media Tech Tonic Lecture Series Evocative Objects and the Making of Art Boston, MA April 2010	
2010	Brown University Fourth Annual Seaman Family Lecture and Teaching Forum Tethered Teens Providence, RI March 2010	
2009	Harvard Extension School Centennial Celebration “No More Teachers? No More Books? Higher Education in the Networked Age” Cambridge, MA November 2009	
2009	Harvard University Kennedy School – Conference on the Future of Journalism The Future of Journalism in a Digital Age Cambridge, MA October 2009	
2009	Harvard University Kennedy School – meeting on “How to Make Money in News” What Sensibility do Digital Natives Bring to the News? Cambridge, MA October 2009	
2009	Association of American Museum Directors Keynote Address: Evocative Objects and the Museum Experience Philadelphia, PA April 2009	
2009	Harvard University Kennedy School Program on Science, Technology, and Society Science and Democracy Lecture Series Connected Publics: Power and Politics in a Networked Age (panel discussion) Cambridge, MA March 2009	
2009	Boston Neuropsychoanalysis Group Grand Rounds New Connectivities/New Identities Brookline, MA February 2009	
2008	The Microsoft Corporation Presentation to Microsoft Research on Growing Up Connnected Seattle, WA December 2008	
2008	The Intel Corporation Conference on “New Research Directions” Cyberintimacies/Cybersolitudes Portland, OR November 2008	
2008	American Academy of Child and Adolescent Psychiatry Annual Meeting Cyberintimacies/Cybersolitudes (Session on Adolescence in Cyberspace: Identity, Intimacy, and the Internet) Chicago, IL October 2008	
2008	TTI/Vanguard – “Generation Techs” Plenary Presentation, The Vanguard Group Annual Meeting New Technologies Across the Life Cycle Rome, Italy July 2008	
2008	MIT Museum Soap Box Creativity and Innovation Series (part of the Cambridge Science Festival) The Robotic Moment and the American Heart: What can we make of our reactions to relational, sociable robotics? Cambridge, MA April 2008	
2008	Harvard University Barker Center for the Humanities Seminar on Science and the Humanities (“Between Two Cultures”) Cyberintimacies/Cybersolitudes Cambridge, MA April 2008	
2008	University of Pennsylvania Department of the History and Sociology of Science New inner history narratives for science studies Philadelphia, PA April 2008	
2008	Harvard University Nieman Foundation for Journalism Keynote address: Cyberintimacy/Cybersolitude: New narratives in the history of technology Nieman Conference on Narrative Journalism: Storytelling in Many Voices, Many Media Boston, MA March 2008	
2008	The Intel Corporation Seminar: Nurturant Technologies Portland, OR February 2008	
2007	Oxford University Conference on Artificial Companions in Society Keynote address: Cyberintimacies/Cybersolitudes Oxford Internet Institute Oxford, England October 2007	
2007	University of Oregon David and Tracey Kohen Lectureship “Cyberintimacies” Eugene, OR October 2007	
2007	MIT Museum Transrobotism (Of Human-Robot Bonds) Panelist Cambridge, MA April 2007	
2007	American Museum of Natural History Art/Sci Collision: Of Human-Robot Bondage Discussion Moderator New York, NY April 2007	
2007	The 2007 Marshall McLuhan Lecture New York University/Consulate General of Canada Cyberintimacies/Cybersolitudes New York, NY March 2007	
2006	List Gallery Curatorial Lecture: Troubles that Try the Tethered Soul Cambridge, MA December 2006	
2006	Stanford University Institute for the Humanities Cyberintimacies Stanford, CA November 2006	
2006	Stanford University Program in Science, Technology, and Society New Complicities for Companionship: A Nascent Robotics Culture Stanford, CA November 2006	
2006	American Sociological Association 101st Annual Meeting Transgressing the Human and Non-human Boundary The Complexities of CyberCompanionship: When Nurturance is the “Killer App” Montreal, Canada August 2006	
2006	American Association for Artificial Intelligence (AAAI) 21st National Conference on Artificial Intelligence Human Implications of Human-Robot Interaction (HRI) A Nascent Robotics Culture: New Complicities for Companionship Boston, MA July 2006	
2006	Dartmouth College Dartmouth Artificial Intelligence Conference Artificial Intelligence: The Next 50 Years Artificial Intelligence at 50: From Building Intelligence to Nurturing Sociabilities Hanover, NH July 2006	
