openalex_id	year	title	venue	doi	cited_by	vincent_raw_name	verdict
W2144966240	2006	<i>The Council of Bourges, 1225. A documentary history</i>. By Richard Kay. (Church, Faith and Culture in the Medieval West.) Pp. xviii+599. Aldershot: Ashgate, 2002. £67.50. 0 7546 0803 4	The Journal of Ecclesiastical History	https://doi.org/10.1017/s0022046906567302	0	NICHOLAS VINCENT	EXCLUDED (different person: medieval historian / other)
W2250910619	2006	Writing Medieval Biography, 750-1250	Boydell and Brewer eBooks	https://doi.org/10.1515/9781846155147	57	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W2506117015	2006	Patronage, Politics and Piety in the Charters of Eleanor of Aquitaine	Histoires de famille. La Parenté au Moyen Age	https://doi.org/10.1484/m.hifa-eb.3.600	4	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W2020033941	2006	<i>The sepulchre of Christ and the medieval west. From the beginning to 1600</i>. By Colin Morris. Pp. xxv+427 incl. 2 maps and 34 figs. Oxford–New York: Oxford University Press, 2005. £55. 0 19 826928 5	The Journal of Ecclesiastical History	https://doi.org/10.1017/s0022046906247304	0	NICHOLAS VINCENT	EXCLUDED (different person: medieval historian / other)
W2940240443	2006	<i>Liturgies in honour of Thomas Becket</i>. By Kay Brainerd Slocum. Pp. xii+379 incl. frontispiece and 6 ills. Toronto–Buffalo–London: University of Toronto Press, 2004. £42 ($75). 0 8020 3650 3	The Journal of Ecclesiastical History	https://doi.org/10.1017/s0022046905626218	0	NICHOLAS VINCENT	EXCLUDED (different person: medieval historian / other)
W1570000428	2005	A second Domesday? The Hundred Rolls of 1279–80	The Economic History Review	https://doi.org/10.1111/j.1467-8519.2005.00302_1.x	23	NICHOLAS VINCENT	EXCLUDED (different person: medieval historian / other)
W2484759497	2005	Regional Variations in the Charters of King Henry II (1154–89)	Palgrave Macmillan UK eBooks	https://doi.org/10.1057/9780230523050_5	3	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W2140195943	2005	Pierre Chaplais. English Diplomatic Practice in the Middle Ages. New York: Hambledon &amp; London, 2003. Pp. xiii+277. $34.95 (cloth).	Journal of British Studies	https://doi.org/10.1086/497523	0	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W2479880386	2005	La biographie royale en France et en Angleterre: Henri II et Louis VII, Henri III et Louis IX	Culture & société médiévales	https://doi.org/10.1484/m.csm-eb.3.336	0	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W1966955032	2005	<i>Alain de Lille (?). Lettres familières (1167–1170</i>). Edited by Françoise Hudry, with a preface by Pascale Bourgain. (Études et rencontres de l’École des Chartes, 14.) Pp. 189. Paris: Vrin/École des Chartes, 2003. €25. 2 7116 4332 0	The Journal of Ecclesiastical History	https://doi.org/10.1017/s0022046905604381	0	NICHOLAS VINCENT	EXCLUDED (different person: medieval historian / other)
W2936802674	2005	Alain de Lille (?). Lettres familières (1167-1170)	The Journal of Ecclesiastical History		0	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W4392333753	2004	Why 1199? Bureaucracy and Enrolment under John and his Contemporaries	Boydell and Brewer eBooks	https://doi.org/10.1515/9781846152337-005	17	Nicholas Vincent	pre-2005, out of scope
W2039913789	2004	The Jews in Medieval Britain: Historical, Literary and Archaeological Perspectives	The English Historical Review	https://doi.org/10.1093/ehr/119.481.495	35	N. Vincent	pre-2005, out of scope
W2325697762	2004	King Henry III and the Blessed Virgin Mary	Studies in Church History	https://doi.org/10.1017/s0424208400015047	15	Nicholas Vincent	pre-2005, out of scope
W4243171256	2004	Cantilupe, Sir George de (1251–1273), baron	Oxford Dictionary of National Biography	https://doi.org/10.1093/ref:odnb/4566	16	Nicholas Vincent	pre-2005, out of scope
W4327636622	2004	Why 1199? Bureaucracy and Enrolment under John and his Contemporaries		https://doi.org/10.1017/9781846152337.003	11	Nicholas Vincent	pre-2005, out of scope
W4232280896	2004	Savoy, Peter of, count of Savoy and de facto earl of Richmond (1203?–1268), magnate	Oxford Dictionary of National Biography	https://doi.org/10.1093/ref:odnb/22016	1	Nicholas Vincent	pre-2005, out of scope
W4253505110	2004	Isabella [Isabella of Angoulême], suo jure countess of Angoulême (c. 1188–1246), queen of England, second consort of King John	Oxford Dictionary of National Biography	https://doi.org/10.1093/ref:odnb/14483	1	Nicholas Vincent	pre-2005, out of scope
W2154816689	2004	<i>The original acta of St Peter's Abbey, Gloucester, c. 1122–1263</i>. Edited by Robert B. Patterson. (Gloucestershire Record Series, 11.) Pp. lxi+354+44 plates. £30. 0 900197 47 1	The Journal of Ecclesiastical History	https://doi.org/10.1017/s0022046903577193	0	NICHOLAS VINCENT	pre-2005, out of scope
W2588931917	2004	Pierre Chaplais. English Diplomatic Practice in the Middle Ages. London: Hambledon; dist. by Palgrave, New York, N.Y. 2003. Pp. xiii, 277 Pp. $34.95. ISBN 1-85285- 395-6.	Albion A Quarterly Journal Concerned with British Studies	https://doi.org/10.2307/4054590	0	Nicholas Vincent	pre-2005, out of scope
W4246030492	2004	Croxley [Crokesley], Richard of (d. 1258), abbot of Westminster and royal councillor	Oxford Dictionary of National Biography	https://doi.org/10.1093/ref:odnb/6742	0	Nicholas Vincent	pre-2005, out of scope
W4256381271	2004	Mauclerk, Walter (d. 1248), bishop of Carlisle	Oxford Dictionary of National Biography	https://doi.org/10.1093/ref:odnb/18355	0	Nicholas Vincent	pre-2005, out of scope
W46729809	2004	The Death of Kings. Royal Deaths in Medieval England (Book)	The Journal of Ecclesiastical History		0	Nicholas Vincent	pre-2005, out of scope
W4229497061	2004	Richard, first earl of Cornwall and king of Germany (1209–1272)	Oxford Dictionary of National Biography	https://doi.org/10.1093/ref:odnb/23501	1	Nicholas Vincent	pre-2005, out of scope
W191235456	2004	Who’s Who in Magna Carta Clause 50?	Histoires de famille. La Parenté au Moyen Age	https://doi.org/10.1484/m.hifa-eb.3.1758	0	Nicholas Vincent	pre-2005, out of scope
W1971075092	2004	<i>The death of kings. Royal deaths in medieval England</i>. By Michael Evans. Pp. xx+289+8 ills. London–New York: Hambledon and London, 2003. £19.95. 1 85285 268 2	The Journal of Ecclesiastical History	https://doi.org/10.1017/s0022046904511569	0	NICHOLAS VINCENT	pre-2005, out of scope
W2176772446	2004	Why 1199? Enrolment in the Chanceries of King John and his Contemporaries	UEA Digital Repository (University of East Anglia)		0	Nicholas Vincent	pre-2005, out of scope
W3153618851	2004	Becket's Murderers			0	Nicholas Vincent	pre-2005, out of scope
W4232119536	2004	Lacy, John de, third earl of Lincoln (c. 1192–1240), magnate	Oxford Dictionary of National Biography	https://doi.org/10.1093/ref:odnb/15855	0	Nicholas Vincent	pre-2005, out of scope
W1911655786	2003	Les Normands de l'entourage d'Henri II Plantagenêt	UEA Digital Repository (University of East Anglia)		0	Nicholas Vincent	pre-2005, out of scope
W2030980434	2003	<i>The exchequer cartulary of Torre Abbey (P.R.O. 164/19)</i>. Edited by Deryck Seymour. Pp. v+571 incl. map. Torquay: Friends of Torre Abbey, 2000. £50 incl. post+packing from The Treasurer, The Friends of Torre Abbey, Torre Abbey, Kings Drive, Torquay TQ2 5JX. 0 9539 673 0 1	The Journal of Ecclesiastical History	https://doi.org/10.1017/s0022046903227986	0	NICHOLAS VINCENT	pre-2005, out of scope
W2302318463	2003	The Struggle for Mastery: Britain 1066-1284/The Englishand the Normans: Ethnic Hostility, Assimilation, and Identity1066-c.1220/From Norman Conquest to Magna Carta: England1066-1215 (Book)	History today		0	Nicholas Vincent	pre-2005, out of scope
W1620475761	2003	The Murderers of Thomas Becket	UEA Digital Repository (University of East Anglia)		1	Nicholas Vincent	pre-2005, out of scope
W150249792	2002	The pilgrimages of the Angevin kings of England 1154-1272	UEA Digital Repository (University of East Anglia)		5	Nicholas Vincent	pre-2005, out of scope
W129185826	2002	Master Elias of Dereham (d. 1245): a reassessment	UEA Digital Repository (University of East Anglia)		0	Nicholas Vincent	pre-2005, out of scope
