date	title	url	contributor_ids
2017-03-07	Why are we so bad at spotting cons?	https://theworld.org/stories/2017/03/07/conning-world	16944
2017-02-10	Why we should all own a piece of the internet	https://theworld.org/stories/2017/02/10/opening-internet	16544
2017-02-06	What immigration does for innovation	https://theworld.org/stories/2017/02/06/what-immigration-does-innovation	16735
2017-01-16	How empathy leads us astray	https://theworld.org/stories/2017/01/16/how-empathy-leads-us-astray	16735
2017-01-10	Conspiracy theorists aren’t all deranged weirdos. They’re friends, family members and people you meet on the street.	https://theworld.org/stories/2017/01/10/what-they-dont-want-you-know-about-conspiracy-theories	16544
2016-12-05	Why do we do medical research on mice? It all started with fur coats.	https://theworld.org/stories/2016/12/05/why-do-we-do-medical-research-mice-it-all-started-fur-coats	16944
2016-11-21	Pride gets a bad rap, but we wouldn’t get too far without it	https://theworld.org/stories/2016/11/21/pride-gets-bad-rap-we-wouldnt-get-too-far-without-it	16544
2016-11-14	A national security expert talks about the things we should (and shouldn’t) be afraid of	https://theworld.org/stories/2016/11/14/national-security-expert-talks-about-things-we-should-and-shouldnt-be-afraid	18013
2016-10-10	Hillary Clinton is tailoring her campaign to you — yes, you	https://theworld.org/stories/2016/10/10/hillary-clinton-running-campaign-thats-tailor-you-yes-you	18013
2016-08-26	What happened to the opera music at Starbucks?	https://theworld.org/stories/2016/08/26/what-happened-opera-music-starbucks	16344
2016-08-24	Why early dating was often confused with prostitution	https://theworld.org/stories/2016/08/24/why-early-dating-was-often-confused-prostitution	17141
2016-08-22	2016 may seem remarkable, but history tells a different tale	https://theworld.org/stories/2016/08/22/2016-may-seem-remarkable-history-tells-different-tale-2	17180
2016-08-22	2016 may seem remarkable, but history tells a different tale	https://theworld.org/stories/2016/08/22/2016-may-seem-remarkable-history-tells-different-tale	17180
2016-08-18	Can you swipe your way to new friends?	https://theworld.org/stories/2016/08/18/can-you-swipe-your-way-new-friends	16944
2016-07-27	Identity-based politics are making the US electorate ‘hyper-partisan’	https://theworld.org/stories/2016/07/27/identity-based-politics-are-making-us-electorate-hyper-partisan	17180
2016-06-21	Stop your worrying about radiation from cell phone, airport scanning machines, says this researcher	https://theworld.org/stories/2016/06/21/unraveling-mysteries-radiation	17141
2016-06-08	The ‘traditional’ definition of marriage really isn’t all that traditional	https://theworld.org/stories/2016/06/08/traditional-definition-marriage-really-isnt-all-traditional	16944
2016-05-30	The science of hypocrisy	https://theworld.org/stories/2016/05/30/science-hypocrisy	16944
2016-05-25	Why today’s rent-to-own economy presents a host of privacy challenges	https://theworld.org/stories/2016/05/25/why-todays-rent-own-economy-presents-host-privacy-challenges	16944
2016-05-20	Where do Facebook ‘likes’ come from? Often, it’s Bangladesh.	https://theworld.org/stories/2016/05/20/where-do-paid-likes-come-often-its-bangladesh	16544
2016-04-14	When technology goes wrong in your doctor’s office, it can have serious consequences	https://theworld.org/stories/2016/04/14/when-technology-goes-wrong-your-doctors-office-it-can-have-serious-consequences	16735
2016-04-07	Despite our complaints, air travel really has changed the world	https://theworld.org/stories/2016/04/07/despite-our-complaints-air-travel-really-has-changed-world	16544
2016-03-23	A Boston museum is showing what the future of fashion might look like	https://theworld.org/stories/2016/03/23/boston-museum-showing-what-future-fashion-might-look	16944
2016-03-07	Voulez-vous learn culture avec moi?	https://theworld.org/stories/2016/03/07/voulez-vous-learn-culture-avec-moi	16944
2016-02-26	Value tech? Then you’ll have a tech genius. Art? An art genius.	https://theworld.org/stories/2016/02/26/we-get-geniuses-we-deserve	16544
2016-02-19	Why we don’t fix anything anymore	https://theworld.org/stories/2016/02/19/why-new-gadgets-are-stunting-your-repair-skills	16735
2016-02-19	Every time you hail an Uber, you’re killing America’s middle class	https://theworld.org/stories/2016/02/19/every-time-you-hail-uber-youre-killing-americas-middle-class	16544
2016-02-17	Is water the next resource crisis?	https://theworld.org/stories/2016/02/17/water-next-resource-crisis	16842
2016-02-08	Why there aren’t more minorities working in tech	https://theworld.org/stories/2016/02/08/why-arent-there-more-people-color-working-technology	16944
2016-01-22	Is it time for colleges to withdraw from their outdated schedules?	https://theworld.org/stories/2016/01/22/college-2	16944
2016-01-08	Was Truman Capote wrong about creativity?	https://theworld.org/stories/2016/01/08/was-truman-capote-wrong-about-creativity	16944
2015-12-22	The (near) future of body modification	https://theworld.org/stories/2015/12/22/near-future-body-modification	16842
2015-12-01	Why hating certain foods may be an illusion	https://theworld.org/stories/2015/12/01/why-hating-certain-foods-may-be-illusion	16284
2015-10-30	Why urban schools aren’t providing the lift needed to push poor kids up	https://theworld.org/stories/2015/10/30/moving-urban-schools-forward	16842
2015-10-30	Advocates are embracing a new first step to help the homeless: permanent housing	https://theworld.org/stories/2015/10/30/homes	16735
2015-10-23	Why you don’t understand people as well as you think	https://theworld.org/stories/2015/10/23/why-you-dont-understand-people-well-you-think	16544
2015-10-23	How to put the charity back in charity	https://theworld.org/stories/2015/10/23/making-charity-better	16842
2015-10-19	The online post that led to a $1.5 billion LinkedIn purchase	https://theworld.org/stories/2015/10/19/online-post-led-15-billion-linkedin-purchase	16284
2015-10-17	Love coffee? Need coffee? Your genes may have something to do with it.	https://theworld.org/stories/2015/10/17/love-coffee-need-coffee-your-genes-may-have-something-do-it	16544
2015-10-05	Don’t care about what people say, TV is here to stay	https://theworld.org/stories/2015/10/05/dont-care-about-what-people-say-tv-here-stay	16544
2015-10-02	Paleo Schmaleo: Why the Paleo diet is wrong	https://theworld.org/stories/2015/10/02/paleo-schmaleo-why-paleo-diet-wrong	16735
2015-10-02	Hold off on the chill pill. Stress isn’t that bad for you.	https://theworld.org/stories/2015/10/02/stress	16544
2015-09-25	Scientists are looking at riskier ways to reverse climate change	https://theworld.org/stories/2015/09/25/reverse-engineering-climate-change	16735
2015-09-25	How to get the 40 percent of food the US wastes to 50 million hungry Americans	https://theworld.org/stories/2015/09/25/us-wastes-40-percent-its-food-heres-how-fix	16544
2015-09-21	What robber barons gave us — after they took from us	https://theworld.org/stories/2015/09/21/what-robber-barons-gave-us-after-they-took-us	16544
2015-09-21	How Mr. Rogers shaped what it means to grow up — and live in Pittsburgh	https://theworld.org/stories/2015/09/21/how-mr-rogers-shaped-what-it-means-grow-and-live-pittsburgh	15365
2015-09-09	Are college papers a waste?	https://theworld.org/stories/2015/09/09/changing-world-one-college-paper-time	16657
2015-09-04	The case for play	https://theworld.org/stories/2015/09/04/case-play	16735
2015-08-28	Subscription is the new sharing: The rise of the ‘membership economy’	https://theworld.org/stories/2015/08/28/our-addiction-subscriptions	16710
2015-08-28	Here’s a doll house for little engineers	https://theworld.org/stories/2015/08/28/doll-house-little-engineers	16544
2015-08-24	On the trail to catch cyber criminals	https://theworld.org/stories/2015/08/24/trying-catch-cyber-criminals	16710
2015-08-18	What your cellphone data says about you	https://theworld.org/stories/2015/08/18/measuring-unemployment-cellphones	16657
2015-08-17	Put down the Emergen-C — vitamin C does not ward off colds	https://theworld.org/stories/2015/08/17/why-take-your-vitamins-bad-advice	16710
2015-08-07	‘The first person to live to 150 has already been born.’	https://theworld.org/stories/2015/08/07/pushing-limits-human-lifespan	16735
2015-08-07	How the ‘sharing economy’ could upend capitalism	https://theworld.org/stories/2015/08/07/how-sharing-economy-could-upend-capitalism	16710
2015-08-06	There’s a reason why you might tip so much	https://theworld.org/stories/2015/08/06/why-youre-tipping-so-much	16544
2015-08-05	What we can learn from pirates, gangsters and others in the ‘misfit’ economy	https://theworld.org/stories/2015/08/05/what-we-can-learn-pirates-gangsters-and-others-misfit-economy	16657
2015-08-03	What modern builders could learn from the Pantheon — and grass bridges in Peru	https://theworld.org/stories/2015/08/03/they-might-be-giants-skyscrapers-arent-key-building-sustainably	16544
2015-07-27	Integrating technology too tightly with education presents its own kind of problems	https://theworld.org/stories/2015/07/27/problem-putting-too-much-tech-education	16735
2015-07-27	50 years later, how Medicare changed America	https://theworld.org/stories/2015/07/27/50-years-later-how-medicare-changed-america	16544
2015-07-23	Why we’re still waiting for the Internet to revolutionize politics	https://theworld.org/stories/2015/07/23/political-change-wasnt	16544
2015-07-23	Technology has now ushered us into the age of ‘hyperemployment’	https://theworld.org/stories/2015/07/23/technology-has-now-ushered-us-age-hyperemployment	16710
2015-07-22	Take a seat on the virtual couch with computers that can read your emotions	https://theworld.org/stories/2015/07/22/take-seat-virtual-couch-computers-can-read-your-emotions	16544
