id	year	date	type	title	venue	doi	oa_status	is_oa	oa_url	cited	n_authors	author_pos	has_abstract
W4406152279	2025	2025-01-08	article	Toward expert-level medical question answering with large language models	Nature Medicine	https://doi.org/10.1038/s41591-024-03423-7	hybrid	True	https://www.nature.com/articles/s41591-024-03423-7.pdf	841	35	23	True
W4416765017	2025	2025-11-22	preprint	Towards a future space-based, highly scalable AI infrastructure system design	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2511.19468	green	True	https://arxiv.org/pdf/2511.19468	6	9	1	True
W4410067888	2025	2025-05-04	article	What Is Intelligence?		https://doi.org/10.1162/anti.5czc	closed	False		3	1	1	True
W4416591581	2025	2025-11-24	article	What is the future of intelligence? The answer could lie in the story of its evolution	Nature	https://doi.org/10.1038/d41586-025-03857-0	closed	False		3	1	1	False
W4410067943	2025	2025-05-04	article	What Is Intelligence?		https://doi.org/10.1162/anti.5czb	closed	False		1	1	1	True
W4416943814	2025	2025-11-27	preprint	Embedded Universal Predictive Intelligence: a coherent framework for multi-agent learning	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2511.22226	green	True	https://arxiv.org/pdf/2511.22226	1	13	13	True
W4416076766	2025	2025-06-05	preprint	MesaNet: Sequence Modeling by Locally Optimal Test-Time Training	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2506.05233	green	True	https://arxiv.org/pdf/2506.05233	0	17	16	True
W7117251067	2025	2025-12-23	preprint	Emergent temporal abstractions in autoregressive models enable hierarchical reinforcement learning	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2512.20605	green	True	https://doi.org/10.48550/arxiv.2512.20605	0	15	13	True
W7117339992	2025	2025-12-23	preprint	Emergent temporal abstractions in autoregressive models enable hierarchical reinforcement learning	arXiv (Cornell University)		green	True	https://arxiv.org/pdf/2512.20605	0	15	13	True
W7160973064	2025	2025-04-01	other	Automatic generation of markers based on social interaction	University of Birmingham Research Portal (University of Birmingham)		green	True	https://patentimages.storage.googleapis.com/f1/ef/7e/14ddaca7445c5c/US12265580.pdf	0	4	4	True
W4414401055	2025	2025-01-01	article	‘What Is Intelligence?’: An excerpt	The Transmitter	https://doi.org/10.53053/aacc4729	closed	False		0	1	1	False
W4392044798	2024	2024-02-22	article	Towards Generalist Biomedical AI	NEJM AI	https://doi.org/10.1056/aioa2300138	closed	False		386	33	25	True
W4395686739	2024	2024-04-24	preprint	The Ethics of Advanced AI Assistants	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2404.16244	green	True	https://arxiv.org/pdf/2404.16244	50	57	55	True
W4399198286	2024	2024-05-29	preprint	LLMs achieve adult human performance on higher-order theory of mind tasks	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2405.18870	green	True	https://arxiv.org/pdf/2405.18870	17	10	9	True
W4402683378	2024	2024-01-01	conference-paper	Can LLMs get help from other LLMs without revealing private information?		https://doi.org/10.18653/v1/2024.privatenlp-1.12	gold	True	https://aclanthology.org/2024.privatenlp-1.12.pdf	5	5	5	True
W4404355701	2024	2024-11-01	preprint	Can LLMs make trade-offs involving stipulated pain and pleasure states?	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2411.02432	green	True	https://arxiv.org/pdf/2411.02432	3	10	9	True
